SYMBOL,NAME OF COMPANY
08ABB.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Bonus Plan(Issue Price: 0.01)
08ADD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Dividend Plan(Issue Price: 0.01)
08ADR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Dividend Plan(Issue Price: 0.01)
08AGG.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Growth Plan(Issue Price: 0.01)
08AMD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Monthly Dividend Plan(Issue Price: 0.01)
08AMR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Monthly Dividend Plan(Issue Price: 0.01)
08AQD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Quarterly Dividend Plan(Issue Price: 0.01)
08AQR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Direct Quarterly Dividend Plan(Issue Price: 0.01)
08BPB.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Bonus Plan(Issue Price: 0.01)
08DPD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Dividend Plan(Issue Price: 0.01)
08DPR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Dividend Plan(Issue Price: 0.01)
08GPG.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Growth Plan(Issue Price: 0.01)
08MPD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Monthly Dividend Plan(Issue Price: 0.01)
08MPR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Monthly Dividend Plan(Issue Price: 0.01)
08QPD.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Quarterly Dividend Plan(Issue Price: 0.01)
08QPR.NS,Nippon India Equity Savings Fund -  Segregated Portfolio 2 - Quarterly Dividend Plan(Issue Price: 0.01)
11ADD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Plan Dividend Plandividend Payout
11ADR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Plan Dividend Plandividend Reinvestment
11AGG.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Growth Plan Growth Optiongrowth
11AMD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Monthly Dividend Plandividend Payout
11AMR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Monthly Dividend Planreinvestment
11AQD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Quarterly Dividend Plandividend Payout
11AQR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Direct Quarterly Dividend Planreinvestment
11DPD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Dividend Plandividend Payout
11DPR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Dividend Plandividend Reinvestment
11GPG.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Growth Plan Growth Optiongrowth
11MPD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Monthly Dividend Plandividend Payout
11MPR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Monthly Dividend Planreinvestment
11QPD.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Quarterly Dividend Plandividend Payout
11QPR.NS,Nippon India Equity Hybrid Fund -  Segregated Portfolio 2Quarterly Dividend Planreinvestment
1STCUS.NS,First Custodian Fund (India) Ltd.
20MICRONS.NS,20 Microns Limited
21STCENMGM.NS,21St Century Management Services Limited
360ONE.NS,360 One Wam Limited
3BBLACKBIO.NS,3B Blackbio Dx Ltd
3CIT.NS,3C It Solutions And Telecoms (India) Ltd
3IINFOLTD.NS,3I Infotech Limited
3MINDIA.NS,3M India Limited
3PLAND.NS,3P Land Holdings Limited
5PAISA.NS,5Paisa Capital Limited
63MOONS.NS,63 Moons Technologies Limited
7NR.NS,7Nr Retail Ltd
7SEASL.NS,7Seas Entertainment Ltd
7TEC.NS,Saven Technologies Ltd.
A1L.NS,A-1 Ltd
A2ZINFRA.NS,A2Z Infra Engineering Limited
AAATECH.NS,Aaa Technologies Limited
AADHARHFC.NS,Aadhar Housing Finance Limited
AADIIND.NS,Aadi Industries Ltd.
AAIL.NS,Akar Auto Industries Ltd
AAKASH.NS,Aakash Exploration Services Limited
AANANDALAK.NS,Aananda Lakshmi Spinning Mills Ltd
AANCHALISP.NS,Aanchal Ispat Ltd
AAPLUSTRAD.NS,Aa Plus Tradelink Ltd
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARNAV.NS,Aarnav Fashions Ltd
AARON.NS,Aaron Industries Limited
AARSHYAM.NS,Aar Shyam India Investment Company Ltd
AARTECH.NS,Aartech Solonics Limited
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND.NS,Aarti Industries Limited
AARTIPHARM.NS,Aarti Pharmalabs Limited
AARTISURF.NS,Aarti Surfactants Limited
AARVEEDEN.NS,Aarvee Denims & Exports Limited
AARVI.NS,Aarvi Encon Limited
AASHKA.NS,Aashka Hospitals Ltd
AASTAFIN.NS,Aastamangalam Finance Ltd
AAVAS.NS,Aavas Financiers Limited
AAYUSH.NS,Aayush Wellness Ltd
AAYUSHBULL.NS,Aayush Art And Bullion Ltd
ABAN.NS,Aban Offshore Limited
ABANSENT.NS,Abans Enterprises Ltd
ABB.NS,Abb India Limited
ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
ABCINDQ.NS,Abc India Ltd.-$
ABDL.NS,Allied Blenders And Distillers Limited
ABFRL.NS,Aditya Birla Fashion And Retail Limited
ABHICAP.NS,Abhinav Capital Services Ltd.
ABHIFIN.NS,Abhishek Finlease Ltd
ABHIJIT.NS,Abhijit Trading Company Ltd
ABIRAFN.NS,Abirami Financial Services (India) Ltd.
ABMINTLLTD.NS,Abm International Limited
ABMKNO.NS,Abm Knowledgeware Ltd.
ABREL.NS,Aditya Birla Real Estate Limited
ABSLAMC.NS,Aditya Birla Sun Life Amc Limited
ABSLBANETF.NS,Aditya Birla Sun Life Nifty Bank Etf
ABSLNN50ET.NS,Aditya Birla Sun Life Nifty Next 50 Etf
ABSLPSE.NS,Aditya Birla Sun Life Nifty Pse Etf
ABVL.NS,Arunjyoti Bio Ventures Ltd
ACC.NS,Acc Limited
ACCEDERE.NS,Accedere Ltd
ACCEL.NS,Accel Ltd
ACCELERATE.NS,Acceleratebs India Ltd
ACCELYA.NS,Accelya Solutions India Limited
ACCURACY.NS,Accuracy Shipping Limited
ACE.NS,Action Construction Equipment Limited
