Date,Open,High,Low,Close,Adj Close,Volume
2014-09-22,304.0,310.0,302.1000061035156,305.7200012207031,281.5307922363281,138120
2014-09-23,303.2300109863281,306.0,298.8999938964844,299.8699951171875,276.1436767578125,123270
2014-09-24,296.8800048828125,299.20001220703125,286.29998779296875,290.4599914550781,267.4781799316406,148775
2014-09-25,287.55999755859375,301.0400085449219,283.1000061035156,285.5299987792969,262.9382019042969,67125
2014-09-26,282.0,285.0,271.489990234375,277.4100036621094,255.4607391357422,156060
2014-09-29,290.6000061035156,291.2799987792969,281.010009765625,284.1400146484375,261.6582336425781,164820
2014-09-30,288.1400146484375,295.0,285.6600036621094,290.75,267.74530029296875,118815
2014-10-01,290.0,305.2799987792969,287.4100036621094,303.739990234375,279.7074279785156,196820
2014-10-07,304.0,314.7900085449219,295.1499938964844,305.7900085449219,281.5953063964844,125905
2014-10-08,304.0,304.0,283.0,284.7699890136719,262.2384338378906,144130
2014-10-09,286.05999755859375,292.9800109863281,281.0,282.3999938964844,260.0559387207031,110065
2014-10-10,280.0,282.07000732421875,273.05999755859375,275.42999267578125,253.63742065429688,216915
2014-10-13,275.0,281.54998779296875,275.0,278.7099914550781,256.65789794921875,76650
2014-10-14,279.0,284.6000061035156,278.7799987792969,282.2900085449219,259.95465087890625,49100
2014-10-15,282.2900085449219,282.2900085449219,282.2900085449219,282.2900085449219,259.95465087890625,0
2014-10-16,279.4599914550781,279.4599914550781,264.0,266.8699951171875,245.75474548339844,169920
2014-10-17,270.0,272.0,253.10000610351562,254.11000061035156,234.0042266845703,184700
2014-10-20,257.0,262.80999755859375,248.0500030517578,252.9600067138672,232.94529724121094,434685
2014-10-21,252.0,270.0,252.0,264.1700134277344,243.26832580566406,530375
2014-10-22,266.45001220703125,290.5799865722656,266.45001220703125,286.2900085449219,263.6381530761719,605435
2014-10-27,284.3999938964844,285.9700012207031,268.0,275.9100036621094,254.07945251464844,238200
2014-10-28,276.0,283.0,272.55999755859375,275.0899963378906,253.32431030273438,135310
2014-10-29,277.0,279.9800109863281,275.989990234375,279.1199951171875,257.0354309082031,393380
2014-10-30,279.0,293.6000061035156,278.0,287.70001220703125,264.9365234375,223925
2014-10-31,289.75,291.0,287.3999938964844,288.3699951171875,265.5535583496094,124225
2014-11-03,290.0,293.1000061035156,287.70001220703125,289.25,266.3638610839844,174700
2014-11-05,287.0199890136719,291.739990234375,280.0400085449219,281.1000061035156,258.85882568359375,111770
2014-11-07,283.0,284.42999267578125,275.0,277.3299865722656,255.38697814941406,134455
2014-11-10,278.79998779296875,279.3999938964844,272.0,274.0199890136719,252.33901977539062,103945
2014-11-11,276.9700012207031,289.0,272.0,279.5299987792969,257.4130554199219,217290
2014-11-12,282.7900085449219,291.0,281.04998779296875,289.1700134277344,266.2901916503906,201250
2014-11-13,288.3999938964844,293.9800109863281,279.6000061035156,280.9800109863281,258.74822998046875,127315
2014-11-14,280.3999938964844,282.9800109863281,273.79998779296875,277.0400085449219,255.11997985839844,95310
2014-11-17,277.0400085449219,281.2900085449219,276.6000061035156,276.8999938964844,254.99110412597656,41060
2014-11-18,280.0,282.82000732421875,275.1199951171875,276.5,254.62278747558594,45255
2014-11-19,275.20001220703125,285.6000061035156,275.20001220703125,278.2099914550781,256.1974792480469,277375
2014-11-20,282.0,282.0,272.0,275.9200134277344,254.08853149414062,81565
2014-11-21,276.6700134277344,276.6700134277344,268.0,270.3599853515625,248.96853637695312,185320
2014-11-24,267.6600036621094,277.94000244140625,262.6000061035156,265.7200012207031,244.69566345214844,148735
