Date,Open,High,Low,Close,Adj Close,Volume
2014-09-22,7850.0,7900.0,7790.0,7892.5498046875,7280.72119140625,6329
2014-09-23,7892.5498046875,8010.0,7800.89990234375,7959.4501953125,7342.43798828125,9970
2014-09-24,8044.89990234375,8045.0,7861.64990234375,7923.5,7309.27392578125,3751
2014-09-25,7920.14990234375,7968.14990234375,7566.0,7781.2001953125,7178.00537109375,7969
2014-09-26,7703.39990234375,7849.75,7666.64990234375,7819.75,7213.56640625,2499
2014-09-29,7752.60009765625,7881.9501953125,7752.60009765625,7814.7998046875,7209.0,2791
2014-09-30,7760.0,8350.849609375,7760.0,7950.64990234375,7334.3193359375,10762
2014-10-01,7950.64990234375,8050.0,7855.7998046875,7983.85009765625,7364.94580078125,19209
2014-10-07,7984.0,8069.89990234375,7899.0,7951.85009765625,7335.42431640625,12628
2014-10-08,7903.0,8688.0,7903.0,8393.9501953125,7743.2548828125,12477
2014-10-09,8529.0,8773.400390625,8220.0,8716.349609375,8040.6591796875,18078
2014-10-10,8720.0,9180.0,8518.0,8999.7001953125,8302.046875,17426
2014-10-13,8899.0,9875.0,8849.7998046875,9612.650390625,8867.4853515625,24201
2014-10-14,9671.0,9938.0,9165.0,9399.75,8671.083984375,14291
2014-10-15,9399.75,9399.75,9399.75,9399.75,8671.083984375,0
2014-10-16,9360.0,9599.0,9058.9501953125,9208.099609375,8494.2919921875,14866
2014-10-17,9150.0,9399.0,8850.0,8924.75,8232.9072265625,7828
2014-10-20,9080.0,9188.9501953125,8611.7998046875,8767.650390625,8087.98828125,9322
2014-10-21,8880.0,8880.0,8611.099609375,8693.099609375,8019.2138671875,5517
2014-10-22,8800.0,8800.0,8625.0,8675.2001953125,8002.70263671875,6791
2014-10-27,9047.0,9123.75,8800.0,8822.75,8138.81640625,6318
2014-10-28,8750.0,9050.0,8734.5,8845.2998046875,8159.615234375,3739
2014-10-29,8928.5,8928.5,8756.0498046875,8809.25,8126.361328125,4306
2014-10-30,8825.0498046875,8835.0,8636.599609375,8800.2001953125,8118.0107421875,5018
2014-10-31,8970.0,9187.0,8740.0,8908.7998046875,8218.193359375,8425
2014-11-03,9000.0,9030.0,8775.0,8901.9501953125,8211.873046875,8282
2014-11-05,8998.7001953125,8998.7001953125,8790.0498046875,8842.099609375,8156.66552734375,12628
